scenario_key,importer,commodity,year,shock_rank,baseline_imports,supplier_count,largest_supplier_share,top3_supplier_share,top5_supplier_share,HHI,entropy,normalized_entropy,import_dependence,calorie_share,protein_share,lost_supply,shock_loss_share,remaining_import_share,replacement_rate,total_replacement,tier1_replacement,tier2_replacement,tier3_replacement,tier1_replacement_share,tier2_replacement_share,tier3_replacement_share,unreplaced_supply,unreplaced_loss_share,residual_import_share,new_origin_share,new_origin_required,historical_supplier_required,type,resilience_profile,capacity_status
1_Maize_2010_R1,1,Maize,2010,1,48033.0,8.0,0.4449649199508671,0.9355443132846168,0.9998334478379448,0.3853174027159481,1.087068001466368,0.5227692049415352,0.0105470415469295,0.0492037703658868,0.0339582596391934,21373.0,0.4449649199508671,0.5550350800491328,,,,,,,,,21373.0,0.4449649199508671,0.5550350800491328,,0,0,capacity_history_insufficient,,capacity_history_insufficient
1_Maize_2011_R1,1,Maize,2011,1,51508.0,7.0,0.6181758173487614,0.939155082705599,0.9993981517434184,0.4570645729247912,0.9963212277801234,0.5120078274240003,0.0135126989230027,0.0495503252629692,0.0343085418869698,31841.0,0.6181758173487614,0.3818241826512386,1.0,31841.0,31841.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Maize_2012_R1,1,Maize,2012,1,37766.0,7.0,0.7496690144574485,0.9984377482391568,0.999788169252767,0.5977183745888989,0.7264960309678398,0.3733451060525759,0.0129496726838796,0.0496075948034816,0.0343654703260614,28312.0,0.7496690144574485,0.2503309855425515,1.0,28312.0,28312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Maize_2013_R1,1,Maize,2013,1,80641.0,11.0,0.6346399474212869,0.9988467404918092,0.9993551667266029,0.5150702237936101,0.7711917918193278,0.3216119571891638,0.0122676761146989,0.0502134096169131,0.0347562397947282,51178.0,0.6346399474212869,0.365360052578713,1.0,51178.0,51178.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Maize_2014_R1,1,Maize,2014,1,50460.48,14.0,0.4319604173404612,0.8699516928891677,0.9979054896029524,0.309051908239942,1.336354003216201,0.5063755107627861,0.0144455764478283,0.0510466715394714,0.0354995374653098,21796.93,0.4319604173404612,0.5680395826595388,1.0,21796.93,21796.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Maize_2015_R1,1,Maize,2015,1,47385.44,8.0,0.7891924185994685,0.9998847747324916,0.999966867459709,0.6652528786695687,0.5389140436869784,0.2591628727642073,0.0137445118568886,0.0516141316577521,0.0357759116530541,37396.23,0.7891924185994685,0.2108075814005314,1.0,37396.23,37396.23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Maize_2016_R1,1,Maize,2016,1,35077.28999999999,6.0,0.9796090290897616,0.9999415576288818,0.9999974342373656,0.9600412341312828,0.1008671896474527,0.0562950504126033,0.0138273368578071,0.0514186050527551,0.035404294198264,34362.03,0.9796090290897616,0.0203909709102383,1.0,34362.03,34362.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Maize_2017_R1,1,Maize,2017,1,46625.16,10.0,0.997686871208592,0.9995985000373188,0.99995667575189,0.9953810411364116,0.0190745512348806,0.0082839723460895,0.0131237996389491,0.050599934957123,0.034774754431523,46517.31,0.997686871208592,0.0023131287914078,1.0,46517.31,46517.31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Maize_2018_R1,1,Maize,2018,1,67459.16,8.0,0.9874209818207044,0.999425726617408,0.9999976281945993,0.9750730005683212,0.0785187709596295,0.0377595471600512,0.0130031927442767,0.0511230041557305,0.0351035103510351,66610.59,0.9874209818207044,0.0125790181792955,1.0,66610.59,66610.59,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Maize_2019_R1,1,Maize,2019,1,64986.37,11.0,0.9959922365259054,0.9996967056322732,0.9999209064916226,0.992012869646,0.0283497741526683,0.0118227741112245,0.0089328828717184,0.0508941834733274,0.0347874720357941,64725.92,0.9959922365259054,0.0040077634740945,1.0,64725.92,64725.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Maize_2020_R1,1,Maize,2020,1,71466.95,5.0,0.9998255137514612,0.999995802255448,1.0,0.9996510773782344,0.0017941105079413,0.0011147435350444,0.0115685035960306,0.0490174827780073,0.0337365442237265,71454.48,0.9998255137514612,0.0001744862485386,1.0,71454.48,0.0,71454.48,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,Type B,Historically recoverable,capacity_available
1_Maize_2021_R1,1,Maize,2021,1,66354.16,10.0,0.9963260781238132,0.9999754348483954,0.9999944238612922,0.9926782398372708,0.0249125576780554,0.0108193863296759,0.0167455199994676,0.0482732424855627,0.0332196678033219,66110.38,0.9963260781238132,0.0036739218761867,1.0,66110.38,66110.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Maize_2022_R1,1,Maize,2022,1,96384.48,6.0,0.9952029621366428,0.9999234316562168,0.9999983399817064,0.9904496930824638,0.0315770801174631,0.0176235039690162,0.0093293844769384,0.0481802715415151,0.0331082552820736,95922.12,0.9952029621366428,0.0047970378633572,1.0,95922.12,95922.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Maize_2023_R1,1,Maize,2023,1,67172.76,11.0,0.9983749365070008,0.9993387200406832,0.99975168505805,0.9967531453566892,0.0148343108735092,0.0061863881387102,0.0083197135458128,0.0493899204244031,0.0339569590137341,67063.6,0.9983749365070008,0.001625063492999,1.0,67063.6,67063.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Palm Oil_2010_R1,1,Palm Oil,2010,1,947.0,6.0,0.5237592397043295,0.9535374868004222,0.9989440337909185,0.4379739721612963,0.98284857921198,0.5485382363490013,-0.0274688759913162,0.0188412106796357,0.0,496.0,0.5237592397043295,0.4762407602956705,,,,,,,,,496.0,0.5237592397043295,0.47624076029567053,,0,0,capacity_history_insufficient,,capacity_history_insufficient
